年,公司代號,公司名稱,股利所屬年度,權利分派基準日,盈餘轉增資配股(元/股),法定盈餘公積、資本公積轉增資配股(元/股),除權交易日,配股總股數(股),配股總金額(元),配股總股數佔盈餘配股總股數之比例(%),員工紅利配股率,盈餘分配之股東現金股利(元/股),法定盈餘公積、資本公積發放之現金(元/股),除息交易日,現金股利發放日,員工紅利總金額(元),現金增資總股數(股),現金增資認股比率(%),現金增資認購價(元/股),董監酬勞(元),公告日期,公告時間,普通股每股面額
2005,1731,美吾華,93,94/07/29,0,0.4,94/07/21,                  0,                      0,0.00,0,0.4,0,94/07/21, ,"          1,916,589",                  0,0,          0.00,"          1,149,953",94/07/11,16:34:15,新台幣                 10.0000元
2005,1733,五鼎,93,94/06/10, , , , , , ,0,2,0,94/06/02, ,"          8,945,000", , , ,"          1,490,980",94/05/20,15:50:12,新台幣                 10.0000元
2005,1734,杏輝藥品,93,94/06/22, , , , , , ,0,0.45,0,94/06/16, ,"          2,800,000", , , ,"          1,400,000",94/06/03,10:39:36,新台幣                 10.0000元
2005,1734,杏輝藥品,93,94/07/19,0.7,0,94/07/13,                  0,                      0,0.00,0, , , , , ,                  0,0,          0.00,"          1,400,000",94/06/27,17:21:14,新台幣                 10.0000元
2005,1734,杏輝藥品,92,94/09/20,0,0,94/09/14,                  0,                      0,0.00,0, , , , , ,"         10,000,000",9.0983,         18.50,"          1,400,000",94/08/30,17:12:21,新台幣                 10.0000元
2005,1735,日勝化,93,94/07/30,0.9,0,94/07/22,"            239,000","              2,390,000",3.52,0.00327846,0.6,0,94/07/22, ,"          2,390,000",                  0,0,          0.00,"          1,775,990",94/07/07,14:12:24,新台幣                 10.0000元
2005,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,
2005,1736,喬山健康,93,94/08/27,2,0,94/08/19,"            450,000","              4,500,000",2.10,0.00428571,1.5,0,94/08/19, ,                  0,                  0,0,          0.00,"          9,500,000",94/08/11,17:04:13,新台幣                 10.0000元
2005,1737,臺鹽,93,94/08/08,0.3,0,94/08/02,"          5,687,606","             56,876,060",41.75,0.02150538,3.7,0,94/08/02, ,                  0,                  0,0,          0.00,"         22,750,425",94/07/20,14:37:07,新台幣                 10.0000元
2005,1776,展宇,93,94/08/01,1,0,94/07/26,                  0,                      0,0.00,0,1,0,94/07/26, ,"          5,786,667",                  0,0,          0.00,"          2,480,000",94/07/13,09:08:21,新台幣                 10.0000元
