年季,公司代號,公司名稱,營業收入,營業成本,營業毛利（毛損）,營業費用,營業利益（損失）,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,其他綜合損益（淨額）,會計原則變動累積影響數,本期綜合損益總額,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,營業外收入及支出,利息淨收益,利息以外淨收益,呆帳費用,會計原則變動之累積影響數,稀釋每股盈餘,利息收入,減：利息費用,淨收益,收回(提存)各項保險責任準備淨額,收入,費用,列計非常損益及會計原則變動累積影響數前損益,營業支出,換算匯率,換算匯率參考依據
2010/01,1467.0,南緯實業,1465832.0,1161582.0,304250.0,237697.0,66553.0,81552.0,25019.0,56533.0,0.0,0.0,0.0,56533.0,57815.0,0.0,-1282.0,0.35,14999.0,,,,,,,,,,,,,,,
2010/01,1468.0,昶和纖維,220051.0,282264.0,-62213.0,43894.0,-106107.0,-115968.0,0.0,-115968.0,0.0,0.0,0.0,-115968.0,-110426.0,0.0,-5542.0,-0.69,-9861.0,,,,,,,,,,,,,,,
2010/01,1469.0,理隆纖維,116694.0,102802.0,13892.0,13318.0,574.0,8046.0,-3678.0,11724.0,0.0,0.0,0.0,11724.0,11724.0,0.0,0.0,0.09,7472.0,,,,,,,,,,,,,,,
2010/01,1471.0,首利,1768603.0,1699132.0,69471.0,88576.0,-19105.0,35713.0,4155.0,31558.0,0.0,0.0,0.0,31558.0,31558.0,0.0,0.0,0.18,54818.0,,,,,,,,,,,,,,,
2010/01,1472.0,三洋紡,331804.0,313697.0,18107.0,23160.0,-5053.0,-6651.0,0.0,-6651.0,0.0,0.0,0.0,-6651.0,-6922.0,0.0,271.0,-0.08,-1598.0,,,,,,,,,,,,,,,
2010/01,1473.0,台南企業,2532952.0,1935914.0,597038.0,418381.0,178657.0,205020.0,56110.0,148910.0,0.0,0.0,0.0,148910.0,139093.0,0.0,9817.0,0.95,26363.0,,,,,,,,,,,,,,,
2010/01,1474.0,弘裕,823745.0,730185.0,93560.0,54999.0,38561.0,32284.0,6843.0,25441.0,0.0,0.0,0.0,25441.0,25454.0,0.0,-13.0,0.18,-6277.0,,,,,,,,,,,,,,,
2010/01,1475.0,本盟光電,244978.0,240873.0,4105.0,26430.0,-22325.0,-29752.0,0.0,-29752.0,0.0,0.0,0.0,-29752.0,-24076.0,0.0,-5676.0,-0.52,-7427.0,,,,,,,,,,,,,,,
2010/01,1476.0,儒鴻,1757566.0,1395971.0,361595.0,206724.0,154871.0,134920.0,39664.0,95256.0,0.0,0.0,0.0,95256.0,94311.0,0.0,945.0,0.49,-19951.0,,,,,,,,,,,,,,,
2010/01,1477.0,聚陽實業,3315203.0,2528639.0,786564.0,396015.0,390549.0,362156.0,70890.0,291266.0,0.0,0.0,0.0,291266.0,291173.0,0.0,93.0,1.91,-28393.0,,,,,,,,,,,,,,,
2010/01,1503.0,士電,4507984.0,3639211.0,868773.0,519836.0,348937.0,423516.0,72573.0,350943.0,0.0,0.0,0.0,350943.0,337010.0,0.0,13933.0,0.65,74579.0,,,,,,,,,,,,,,,
2010/01,1504.0,東元電機,9454741.0,6942427.0,2512314.0,1748546.0,763768.0,902406.0,316845.0,585561.0,0.0,0.0,0.0,585561.0,572948.0,0.0,12613.0,0.32,138638.0,,,,,,,,,,,,,,,
2010/01,1506.0,正道,366851.0,307893.0,58958.0,55046.0,3912.0,9942.0,988.0,8954.0,0.0,0.0,0.0,8954.0,6549.0,0.0,2405.0,0.06,6030.0,,,,,,,,,,,,,,,
2010/01,1507.0,永大機電,2643544.0,1872079.0,771465.0,401504.0,369961.0,393841.0,107431.0,286410.0,0.0,0.0,0.0,286410.0,284938.0,0.0,1472.0,0.7,23880.0,,,,,,,,,,,,,,,
2010/01,1512.0,瑞利,995032.0,863788.0,131244.0,131831.0,-587.0,-26561.0,9581.0,-36142.0,0.0,0.0,0.0,-36142.0,-39995.0,0.0,3853.0,-0.22,-25974.0,,,,,,,,,,,,,,,
2010/01,1513.0,中興電,2051274.0,1609203.0,442071.0,328277.0,113794.0,115828.0,12090.0,103738.0,0.0,0.0,0.0,103738.0,95543.0,0.0,8195.0,0.2,2034.0,,,,,,,,,,,,,,,
2010/01,1514.0,亞力電機,606569.0,525591.0,80978.0,87742.0,-6764.0,-4723.0,6000.0,-10723.0,0.0,0.0,0.0,-10723.0,-12626.0,0.0,1903.0,-0.07,2041.0,,,,,,,,,,,,,,,
2010/01,1515.0,力山,832775.0,601380.0,231395.0,153777.0,77618.0,56153.0,-867.0,57020.0,0.0,0.0,0.0,57020.0,56908.0,0.0,112.0,0.25,-21465.0,,,,,,,,,,,,,,,
2010/01,1517.0,利奇機械,841458.0,675167.0,166291.0,72334.0,93957.0,83698.0,20996.0,62702.0,0.0,90465.0,0.0,153167.0,146966.0,0.0,6201.0,0.65,-10259.0,,,,,,,,,,,,,,,
2010/01,1519.0,華城電機,1107535.0,817556.0,289979.0,161227.0,128752.0,115651.0,19797.0,95854.0,0.0,0.0,0.0,95854.0,95854.0,0.0,0.0,0.39,-13101.0,,,,,,,,,,,,,,,
2010/01,1521.0,大億,1008284.0,802457.0,205827.0,94858.0,111423.0,141758.0,27462.0,114296.0,0.0,0.0,0.0,114296.0,114296.0,0.0,0.0,1.5,30335.0,,,,,,,,,,,,,,,
2010/01,1522.0,堤維西,3040409.0,2443577.0,596832.0,446857.0,167086.0,68436.0,18089.0,50347.0,0.0,0.0,0.0,50347.0,50644.0,0.0,-297.0,0.18,-98650.0,,,,,,,,,,,,,,,
2010/01,1523.0,臺灣開億,1566448.0,1381333.0,185115.0,150386.0,34729.0,31535.0,3223.0,28312.0,0.0,0.0,0.0,28312.0,25314.0,0.0,2998.0,0.15,-3194.0,,,,,,,,,,,,,,,
2010/01,1524.0,耿鼎企業,843480.0,719952.0,123528.0,92275.0,31253.0,18887.0,2878.0,16009.0,0.0,0.0,0.0,16009.0,16009.0,0.0,0.0,0.1,-12366.0,,,,,,,,,,,,,,,
2010/01,1525.0,江申工業,240248.0,221169.0,19079.0,18890.0,189.0,79530.0,6380.0,73150.0,0.0,0.0,0.0,73150.0,73150.0,0.0,0.0,1.11,79341.0,,,,,,,,,,,,,,,
2010/01,1526.0,日馳,148668.0,117092.0,31576.0,22596.0,8980.0,5195.0,520.0,4675.0,0.0,0.0,0.0,4675.0,4675.0,0.0,0.0,0.07,-3785.0,,,,,,,,,,,,,,,
2010/01,1527.0,鑽全,644654.0,464543.0,180111.0,71056.0,109055.0,101661.0,17307.0,84354.0,0.0,0.0,0.0,84354.0,84354.0,0.0,0.0,0.51,-7394.0,,,,,,,,,,,,,,,
